"control_number","specific","generic","qty","origin","description","ship_date"
"2014406937","RADIATED RAT","SNAKE",15104,"ID","SHO","2014-01-21"
"2014406964","GREAT PEARL","OYSTER",188,"PH","JWL","2014-01-22"
"2014406964","ABALONE","SHELL",185,"NZ","JWL","2014-01-22"
"2014406964","","OYSTER",31,"PF","JWL","2014-01-22"
"2014406964","","SEA FAN",4,"CN","JWL","2014-01-22"
"2014406964","","OYSTER",8,"PH","JWL","2014-01-22"
"2014407198","N. AMERICAN BROWN","BEAR",3,"CA","CLA","2014-01-17"
"2014407735","","SHELL",300,"CN","SPR","2014-01-24"
"2014408107","AMERICAN","MINK",21577,"SE","SKI","2014-01-24"
"2014408866","SWAN","MUSSEL",1980,"CN","SPR","2014-01-28"
"2014408870","CAPIZ","SHELL",158,"IN","SPR","2014-01-28"
"2014409318","AMERICAN","MINK",14457,"GR","SKI","2014-01-27"
"2014409351","AMERICAN","MINK",1735,"IE","SKI","2014-01-27"
"2014409358","AMERICAN","MINK",400,"GR","SKI","2014-01-27"
"2014409387","","HARTEBEEST",1,"ZA","TRO","2014-01-21"
"2014409387","","WATERBUCK",1,"ZA","TRO","2014-01-21"
"2014409387","GREATER","KUDU",1,"ZA","TRO","2014-01-21"
"2014409387","","SPRINGBOK",4,"ZA","TRO","2014-01-21"
"2014409387","","BLESBOK",2,"ZA","TRO","2014-01-21"
"2014409387","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-21"
"2014409387","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-01-21"
"2014409387","COMMON","ELAND",1,"ZA","TRO","2014-01-21"
"2014409387","","GEMSBOK",1,"ZA","TRO","2014-01-21"
"2014409387","","IMPALA",1,"ZA","TRO","2014-01-21"
"2014409387","BLACK","WILDEBEEST",1,"ZA","TRO","2014-01-21"
"2014409398","GREAT PEARL","OYSTER",220,"PH","JWL","2014-01-26"
"2014409398","ABALONE","SHELL",188,"NZ","JWL","2014-01-26"
"2014409398","","OYSTER",63,"PF","JWL","2014-01-26"
"2014409398","","SEA FAN",2,"CN","JWL","2014-01-26"
"2014409398","","OYSTER",11,"PH","JWL","2014-01-26"
"2014409415","","OYSTER",14178,"CN","SPR","2014-01-16"
"2014409419","","OYSTER",352,"JP","SPR","2014-01-18"
"2014409945","BRUSHTAIL","POSSUM",23,"AU","SKU","2014-01-22"
"2014409945","BRUSHTAIL","POSSUM",23,"AU","BON","2014-01-22"
"2014410300","N. AMERICAN BROWN","BEAR",1,"CA","RUG","2014-01-23"
"2014410474","SOCKEYE","SALMON",40,"CA","SPE","2014-01-22"
"2014410482","AMERICAN","BISON",1,"CA","SKI","2014-01-23"
"2014411333","SPANISH","IBEX",1,"ES","TRO","2014-01-26"
"2014411333","PYRENEAN","CHAMOIS",2,"ES","TRO","2014-01-26"
"2014411342","","GEMSBOK",1,"ZA","TRO","2014-01-17"
"2014411342","","NYALA",1,"ZA","TRO","2014-01-17"
"2014411342","","HARTEBEEST",1,"ZA","TRO","2014-01-17"
"2014411342","","WATERBUCK",1,"ZA","TRO","2014-01-17"
"2014411697","","OYSTER",9624,"CN","SPR","2014-02-01"
"2014411708","CAPIZ","SHELL",896,"CN","SPR","2014-01-30"
"2014411723","RADIATED RAT","SNAKE",1240,"ID","SHO","2014-01-28"
"2014412103","","BUSHBUCK",1,"ZA","TRO","2014-01-21"
"2014412103","GREATER","KUDU",1,"ZA","TRO","2014-01-21"
"2014412103","COMMON","WARTHOG",2,"ZA","TRO","2014-01-21"
"2014412103","","WATERBUCK",1,"ZA","TRO","2014-01-21"
"2014412103","","NYALA",2,"ZA","TRO","2014-01-21"
"2014412103","SOUTHERN","REEDBUCK",1,"ZA","TRO","2014-01-21"
"2014412519","PEARL","MUSSEL",1256,"CN","SPR","2014-02-01"
"2014412681","GREAT PEARL","OYSTER",382,"PH","JWL","2014-01-31"
"2014412681","ABALONE","SHELL",299,"NZ","JWL","2014-01-31"
"2014412681","","OYSTER",85,"PF","JWL","2014-01-31"
"2014412681","","SEA FAN",8,"CN","JWL","2014-01-31"
"2014412681","","OYSTER",16,"PH","JWL","2014-01-31"
"2014412683","AMERICAN","MINK",4300,"NL","SKI","2014-01-31"
"2014412691","BLACK FISHING","FROGFISH",1,"MH","SPE","2014-01-29"
"2014413460","GIANT","ELAND",1,"CM","TRO","2014-01-30"
"2014413460","","KOB",1,"CM","TRO","2014-01-30"
"2014413482","","BLESBOK",2,"ZA","TRO","2014-01-17"
"2014413482","BLUE","WILDEBEEST",1,"ZA","TRO","2014-01-17"
"2014413482","","GEMSBOK",2,"ZA","TRO","2014-01-17"
"2014413482","COMMON","WARTHOG",1,"ZA","TRO","2014-01-17"
"2014413482","","WATERBUCK",2,"ZA","TRO","2014-01-17"
"2014413487","","COWRIE",1,"ZA","SPR","2014-01-17"
"2014414013","AMERICAN","MINK",2968,"ES","SKI","2014-02-04"
"2014414045","AMERICAN","MINK",2442,"ES","SKI","2014-02-04"
"2014414048","AMERICAN","MINK",15648,"SE","SKI","2014-02-04"
"2014414193","","BLESBOK",1,"ZA","TRO","2014-01-24"
"2014414193","GREATER","KUDU",2,"ZA","TRO","2014-01-24"
"2014414193","","GEMSBOK",2,"ZA","TRO","2014-01-24"
"2014414193","","SPRINGBOK",2,"ZA","TRO","2014-01-24"
"2014414193","BLACK","WILDEBEEST",1,"ZA","TRO","2014-01-24"
"2014414193","","IMPALA",1,"ZA","TRO","2014-01-24"
"2014414193","BURCHELL'S","ZEBRA",1,"ZA","TRO","2014-01-24"
"2014414198","BURCHELL'S","ZEBRA",2,"ZA","SKP","2014-01-24"
"2014414198","","GEMSBOK",2,"ZA","TAI","2014-01-24"
"2014415222","COMMON","PHEASANT",1008,"CN","FEA","2014-02-06"
"2014415222","SOUTHERN AFRICAN","OSTRICH",576,"CN","FEA","2014-02-06"
"2014415237","GREAT PEARL","OYSTER",503,"PH","JWL","2014-02-05"
"2014415237","ABALONE","SHELL",292,"NZ","JWL","2014-02-05"
"2014415237","","OYSTER",70,"PF","JWL","2014-02-05"
"2014415237","","SEA FAN",38,"CN","JWL","2014-02-05"
"2014415237","","OYSTER",36,"PH","JWL","2014-02-05"
"2014415256","CRABS,LOBSTERS,","CRUSTACEANS",109,"PH","LIV","2014-02-06"
"2014415256","SHELLS","MOLLUSCS",134,"PH","LIV","2014-02-06"
"2014415260","ELEGANT","CORAL",3,"ID","LIV","2014-02-06"
"2014415260","TORCH","CORAL",3,"ID","LIV","2014-02-06"
"2014415260","CAT'S-EYE","CORAL",4,"ID","LIV","2014-02-06"
"2014415260","WHITE GRAPE","CORAL",25,"ID","LIV","2014-02-06"
"2014415260","MUSHROOM","CORAL",10,"ID","LIV","2014-02-06"
"2014415260","DAISY","CORAL",14,"ID","LIV","2014-02-06"
"2014415260","HORN","CORAL",1,"ID","LIV","2014-02-06"
"2014415260","BRAIN","CORAL",15,"ID","LIV","2014-02-06"
"2014415260","BRAIN","CORAL",5,"ID","LIV","2014-02-06"
"2014415260","BUBBLE","CORAL",10,"ID","LIV","2014-02-06"
"2014415260","CRATER","CORAL",25,"ID","LIV","2014-02-06"
"2014415260","DAISY","CORAL",4,"ID","LIV","2014-02-06"
"2014415260","ORGAN-PIPE","CORAL",2,"ID","LIV","2014-02-06"
"2014415260","STONY","CORAL",2,"ID","LIV","2014-02-06"
"2014415260","STAGHORN","CORAL",13,"ID","LIV","2014-02-06"
"2014415260","STAGHORN","CORAL",7,"ID","LIV","2014-02-06"
"2014415260","STONY","CORAL",69,"ID","ROC","2014-02-06"
"2014415260","STONY","CORAL",158,"ID","ROC","2014-02-06"
"2014415260","","CORAL",5,"ID","LIV","2014-02-06"
"2014415260","TRUMPET","CORAL",2,"ID","LIV","2014-02-06"
"2014415260","","CORAL",7,"ID","LIV","2014-02-06"
"2014415260","CRABS,LOBSTERS,","CRUSTACEANS",5,"ID","LIV","2014-02-06"
"2014415260","SHELLS","MOLLUSCS",45,"ID","LIV","2014-02-06"
"2014415908","CHACMA","BABOON",2,"ZA","TRO","2014-01-25"
"2014415908","","CARACAL",1,"ZA","TRO","2014-01-25"
"2014415908","BLACK-BACKED","JACKAL",2,"ZA","TRO","2014-01-25"
"2014415908","","BLESBOK",1,"ZA","TRO","2014-01-25"
"2014415908","BLUE","WILDEBEEST",2,"ZA","TRO","2014-01-25"
"2014415908","","GEMSBOK",2,"ZA","TRO","2014-01-25"
"2014415908","","IMPALA",2,"ZA","TRO","2014-01-25"
"2014415908","GREATER","KUDU",2,"ZA","TRO","2014-01-25"
"2014415908","","HARTEBEEST",1,"ZA","TRO","2014-01-25"
"2014415908","COMMON","WARTHOG",1,"ZA","TRO","2014-01-25"
"2014415908","","WATERBUCK",2,"ZA","TRO","2014-01-25"
"2014415908","BURCHELL'S","ZEBRA",2,"ZA","TRO","2014-01-25"
"2014416150","","BLACKBUCK",1,"AR","TRO","2014-02-03"
"2014416150","","ELK",1,"AR","TRO","2014-02-03"
"2014416150","WILD","BOAR",1,"AR","TRO","2014-02-03"
"2014416150","FALLOW","DEER",1,"AR","TRO","2014-02-03"
"2014416159","","BLACKBUCK",1,"AR","TRO","2014-02-05"
"2014416159","","COUGAR",1,"AR","TRO","2014-02-05"
"2014416159","DOMESTIC","SHEEP",1,"AR","TRO","2014-02-05"
"2014417025","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-02-06"
"2014417056","","OYSTER",2880,"CN","SPR","2014-02-11"
"2014417059","GREAT PEARL","OYSTER",529,"VN","SPR","2014-02-11"
"2014417062","","OYSTER",480,"CN","SPR","2014-01-31"
"2014417115","GREAT PEARL","OYSTER",133,"PH","JWL","2014-02-08"
"2014417115","ABALONE","SHELL",121,"NZ","JWL","2014-02-08"
"2014417115","","OYSTER",30,"PF","JWL","2014-02-08"
"2014417115","","SEA FAN",4,"CN","JWL","2014-02-08"
"2014417115","","OYSTER",6,"PH","JWL","2014-02-08"
"2014417139","PEARL","MUSSEL",40536,"CN","SPR","2014-02-09"
"2014417466","SWAN","MUSSEL",990,"CN","SPR","2014-02-11"
"2014417781","","OYSTER",67,"AU","SPR","2014-02-06"
"2014417789","","IMPALA",1,"ZA","TRO","2014-02-05"
"2014417789","VERVET","MONKEY",1,"ZA","TRO","2014-02-05"
"2014417802","AFRICAN","ELEPHANT",7,"BW","SKP","2014-02-05"
"2014417882","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-02-10"
"2014417882","AMERICAN BLACK","BEAR",1,"CA","SKU","2014-02-10"
"2014417891","","IMPALA",1,"NA","TRO","2014-02-08"
"2014417891","GREATER","KUDU",1,"NA","TRO","2014-02-08"
"2014417891","","GEMSBOK",1,"NA","TRO","2014-02-08"
"2014417891","","SPRINGBOK",1,"NA","TRO","2014-02-08"
"2014417891","BURCHELL'S","ZEBRA",1,"NA","TRO","2014-02-08"
"2014417977","AMERICAN BLACK","BEAR",1,"CA","RUG","2014-02-07"
"2014417977","AMERICAN BLACK","BEAR",1,"CA","SKU","2014-02-07"
"2014417981","AFRICAN","LION",1,"ZA","TRO","2014-02-03"
"2014417981","BLACK-BACKED","JACKAL",1,"ZA","TRO","2014-02-03"
"2014417981","BLUE","WILDEBEEST",1,"ZA","TRO","2014-02-03"
"2014417981","","GEMSBOK",1,"ZA","TRO","2014-02-03"
"2014417981","","IMPALA",3,"ZA","TRO","2014-02-03"
"2014417981","GREATER","KUDU",2,"ZA","TRO","2014-02-03"
"2014417981","COMMON","WARTHOG",2,"ZA","TRO","2014-02-03"
"2014417981","","BLESBOK",1,"ZA","TRO","2014-02-03"
"2014418568","RADIATED RAT","SNAKE",720,"ID","SHO","2014-02-11"
"2014418586","TROCHA","SHELL",23394,"ID","SPR","2014-01-25"
"2014418587","","BLACKBUCK",3,"AR","TRO","2014-02-03"
"2014418587","DOMESTIC WATER","BUFFALO",3,"AR","TRO","2014-02-03"
"2014418587","","ELK",3,"AR","TRO","2014-02-03"
"2014418587","","CHITAL",1,"AR","TRO","2014-02-03"
"2014418587","FALLOW","DEER",1,"AR","TRO","2014-02-03"
"2014418587","WILD","BOAR",1,"AR","TRO","2014-02-03"
"2014418588","","OYSTER",5256,"ID","SPR","2014-02-11"
"2014418588","GREAT PEARL","OYSTER",8028,"ID","SPR","2014-02-11"
"2014418589","EUROPEAN","RABBIT",901,"AU","GAR","2014-02-11"
"2014418692","OLIVE","FLOUNDER",404,"KR","LIV","2014-02-12"
"2014418692","","SEA PINEAPPLE",320,"KR","LIV","2014-02-12"
"2014418692","","SEA CUCUMBER",122,"KR","LIV","2014-02-12"
"2014418694","OLIVE","FLOUNDER",184,"KR","LIV","2014-02-12"
"2014418694","","SEA PINEAPPLE",150,"KR","LIV","2014-02-12"
"2014419022","RED","KANGAROO",1068,"AU","SHO","2014-02-10"
"2014419137","","BLESBOK",1,"ZA","TRO","2014-02-05"
"2014419137","","BUSHBUCK",1,"ZA","TRO","2014-02-05"
"2014419137","COMMON","ELAND",1,"ZA","TRO","2014-02-05"
"2014419137","","IMPALA",1,"ZA","TRO","2014-02-05"
"2014419137","GREATER","KUDU",1,"ZA","TRO","2014-02-05"
"2014419137","","NYALA",1,"ZA","TRO","2014-02-05"
"2014419137","","HARTEBEEST",1,"ZA","TRO","2014-02-05"
