"rate_spread","population","minority_population","loan_amount","median_family_income","applicant_income","state","year","applicant_race","applicant_ethnicity","company_name"
4.95,4530,48.68000031,104,49500,26,"NC",2014,"Black or African American","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.8,7058,22.70000076,143,68400,86,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.85,6640,9.739999771,106,65600,50,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.12,5561,50.11999893,128,68400,150,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.16,8892,20.75,104,68400,58,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.95,8978,27.79000092,129,68400,79,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.85,4473,45.99000168,106,49500,45,"NC",2014,"American Indian or Alaska Native","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.97,5750,15.27000046,116,68400,40,"TX",2014,"White","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.85,1847,21.48999977,105,68400,40,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.16,3777,18.03000069,104,53700,35,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.97,2507,14.35999966,103,68400,138,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.22,4768,5.909999847,102,52000,68,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.55,3945,9.56000042,103,52000,41,"VA",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.01,3571,2.069999933,175,58600,51,"IL",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.51,5160,15.90999985,134,59200,59,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.01,7200,29.11000061,110,59200,36,"OK",2014,"American Indian or Alaska Native","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.49,4860,3.99000001,114,51300,106,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.95,3501,2,117,51300,174,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.69,4860,3.99000001,103,51300,34,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.24,5234,51.93000031,132,52000,38,"VA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.18,4313,68.37000275,138,51600,117,"TX",2014,"Black or African American","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.45,6844,18.37999916,113,51600,138,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.13,3165,8.590000153,138,52000,111,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.05,2393,15.71000004,101,51200,71,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.26,3196,13.64000034,134,51200,106,"OK",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.18,3254,30.70000076,162,51200,58,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.02,7400,20.87999916,112,51200,140,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.73,2860,8.739999771,193,51200,56,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.86,8743,5.090000153,103,59400,86,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.15,5290,4.21999979,106,59400,37,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.44,3529,2.859999895,145,47100,73,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
1.9,1785,25.48999977,113,54700,26,"CA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6,4320,10.06999969,107,47100,39,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.02,5259,14.09000015,112,61400,64,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.98,7198,14.47999954,129,47100,46,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.65,5055,12.05000019,103,54200,25,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.37,6245,20.57999992,108,71000,68,"IL",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.09,4735,29.12000084,101,57800,121,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.94,3000,59.86999893,104,62000,50,"CO",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.91,1734,24.45000076,101,54500,35,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.98,6216,51.02999878,136,68400,115,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
1.63,5329,6.309999943,135,59500,122,"FL",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.82,6615,34.77000046,109,48700,89,"FL",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.35,4306,34.34999847,126,68400,41,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.31,8647,17.77000046,105,68400,62,"TX",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.98,6181,28.17000008,105,58400,40,"MS",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.33,8381,96.72000122,148,35000,90,"TX",2014,"White","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.22,5987,9.920000076,106,64200,36,"IN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.99,3241,37.29999924,113,52300,64,"TN",2014,"Black or African American","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.78,6351,51.15999985,105,58800,68,"TX",2014,"American Indian or Alaska Native","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.86,5282,3.220000029,118,50600,40,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.66,4268,2.910000086,118,50600,40,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.44,7661,19.88999939,141,56100,114,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.59,2895,2.039999962,125,52000,80,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.06,5562,48.15000153,112,52000,46,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.2,3191,6.889999866,113,52000,48,"VA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.52,5676,6.21999979,111,47100,66,"WV",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.97,3474,6.25,101,59400,56,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
1.73,4719,2.609999895,120,59400,34,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.15,7523,47.72999954,105,54700,78,"CA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.8,8574,3.5,111,71000,28,"MO",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.54,3550,7.659999847,115,43800,90,"MS",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
8.13,6131,62.15999985,129,54600,73,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.38,4574,45.90999985,127,51200,66,"OK",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.02,3215,39.06999969,114,51200,78,"OK",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.96,5073,22.10000038,106,58400,90,"MS",2014,"Black or African American","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.43,4932,58.02999878,170,51600,114,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.01,2469,38.68000031,114,55300,143,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.79,3944,17.67000008,113,57600,44,"CO",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.95,3625,12.35999966,138,65600,57,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.13,5885,2.819999933,110,64200,51,"IN",2014,"White","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.09,3830,26.53000069,111,58800,63,"TX",2014,"Information not provided by applicant in mail, Internet, or telephone application","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.27,5329,6.309999943,149,59500,71,"FL",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.17,2229,20.72999954,105,57900,63,"NV",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.92,7715,87.61000061,114,51600,134,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.86,2938,11.94999981,142,51600,171,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.99,5850,9.130000114,107,55600,116,"ID",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.16,6308,16.09000015,104,43800,69,"MS",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.11,6002,22.51000023,141,54100,60,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.38,6680,39.77999878,111,57400,48,"FL",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.06,6220,14.05000019,119,51000,83,"MO",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.16,6623,3.670000076,112,59400,59,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.52,3886,3.809999943,131,59400,54,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.15,5822,6.900000095,110,47100,44,"TN",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.99,5373,31.98999977,119,70300,64,"CA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.68,3340,4.130000114,124,65600,62,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.17,1828,5.909999847,107,47100,144,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.75,3791,7.989999771,173,51000,108,"MO",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.99,5116,35.61000061,178,58400,139,"MS",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.2,10079,19.44000053,114,59800,121,"MS",2014,"Black or African American","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.82,2357,15.56999969,115,51600,54,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.88,4934,16.25,104,51600,40,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.08,4382,16.68000031,115,51600,132,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.18,4158,36,129,51600,131,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.88,2343,22.14999962,101,51600,130,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.55,6853,51.88999939,113,51600,100,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.13,8247,21.61000061,116,57600,63,"CO",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
4.38,5499,13.27999973,115,51600,98,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.16,4382,16.68000031,116,51600,108,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.38,8215,42.09000015,108,51600,63,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.53,3103,59.06999969,105,51600,91,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.38,2797,2.819999933,119,47100,80,"WV",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.9,5791,18.94000053,166,51600,78,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.93,5298,22.04999924,108,43800,63,"MS",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.49,5988,8.649999619,103,47100,59,"TN",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.8,5372,44.91999817,114,51600,57,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.57,5534,3.400000095,141,45900,39,"KY",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.38,3128,2.559999943,137,57500,114,"WV",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.01,2031,22.94000053,112,52500,51,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.13,2616,1.340000033,120,47100,75,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.5,3982,1.629999995,186,58200,87,"PA",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.39,7578,76.98999786,121,48900,47,"WA",2014,"Information not provided by applicant in mail, Internet, or telephone application","Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
2.44,8236,2.450000048,119,54600,73,"WV",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.01,3624,16.71999931,112,48700,52,"FL",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.69,3749,5.28000021,130,47100,119,"WV",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.01,3534,1.470000029,112,47100,91,"WV",2014,"Information not provided by applicant in mail, Internet, or telephone application","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.86,6079,33.02999878,126,51600,71,"TX",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
5.84,8193,1.929999948,126,47100,75,"WV",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
4.5,3869,3.019999981,103,47100,40,"WV",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
6.02,4596,1.75999999,104,47100,74,"WV",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
3.38,1018,1.570000052,121,47100,84,"TN",2014,"White","Not Hispanic or Latino","VANDERBILT MORTGAGE (TN)"
3.29,5266,11.97999954,153,61700,73,"TX",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.35,4325,16.20999908,114,61700,40,"TX",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
6.1,3878,1.779999971,126,61000,93,"WV",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
5.42,7107,5.800000191,120,68700,56,"PA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","VANDERBILT MORTGAGE (TN)"
2.08,2490,12.48999977,108,57600,26,"CO",2014,"White","Not Hispanic or Latino","VECTRA BANK COLORADO"
2.37,1694,5.079999924,111,70100,29,"GA",2014,"White","Hispanic or Latino","VENTA FINANCIAL GROUP"
4.48,5075,6.460000038,140,58300,93,"LA",2014,"White","Not Hispanic or Latino","VERMILION BANK & TRUST COMPANY (LA)"
2.17,4623,31.38999939,133,68400,67,"TX",2014,"White","Not Hispanic or Latino","VICTORIAN FINANCE"
2.33,2107,44.70999908,132,69100,74,"TX",2014,"White","Not Hispanic or Latino","VINTAGE BANK (TX)"
2.91,5529,4.070000172,105,55700,86,"OH",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VINTON COUNTY NATIONAL BANK (OH)"
3.12,5159,4.230000019,143,55700,91,"OH",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","VINTON COUNTY NATIONAL BANK (OH)"
2.1,3353,30.20999908,200,68000,101,"CA",2014,"White","Not Hispanic or Latino","VITEK MORTGAGE GROUP (CA)"
2.11,5325,51.86999893,167,68000,51,"CA",2014,"White","Not Hispanic or Latino","VITEK MORTGAGE GROUP (CA)"
1.85,4701,17.39999962,186,68000,61,"CA",2014,"White","Not Hispanic or Latino","VITEK MORTGAGE GROUP (CA)"
4.04,3698,3.700000048,115,80200,75,"VT",2014,"White","Not Hispanic or Latino","VT STATE EMPLOYEES CREDIT UNIO (VT)"
3.03,3643,3.019999981,147,73200,67,"ND",2014,"White","Not Hispanic or Latino","VUE COMMUNITY CREDIT UNION (ND)"
3.06,3643,3.019999981,147,73200,105,"ND",2014,"White","Not Hispanic or Latino","VUE COMMUNITY CREDIT UNION (ND)"
2.66,1321,3.710000038,158,64200,84,"ND",2014,"White","Not Hispanic or Latino","VUE COMMUNITY CREDIT UNION (ND)"
2.38,4438,5.840000153,125,73200,46,"ND",2014,"White","Not Hispanic or Latino","VUE COMMUNITY CREDIT UNION (ND)"
1.83,5376,3.309999943,117,83900,192,"MN",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.7,2470,2.789999962,255,64200,68,"ND",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.58,7220,46.88000107,196,60700,81,"CA",2014,"Asian","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.68,6218,25.75,172,60700,50,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.66,3769,2.200000048,208,61700,82,"MN",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.73,5735,9.350000381,190,64200,89,"ND",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.69,5079,56.43000031,195,60700,65,"CA",2014,"White","Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.86,4074,66.15000153,232,58000,,"NV",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.6,3768,44.88000107,130,60700,70,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.76,5093,31.82999992,201,60700,55,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.89,3415,13.81999969,139,57900,48,"NV",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.59,6792,25.96999931,241,60700,70,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
2.34,8561,10.77000046,114,73200,50,"ND",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.85,3192,35.65000153,255,72700,81,"CA",2014,"White","Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
2.05,4438,5.840000153,191,73200,69,"ND",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.75,4705,7.010000229,112,62000,90,"UT",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.74,3186,33.74000168,312,72700,89,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.68,4741,25.35000038,147,57600,58,"CO",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.81,6764,45.88000107,194,57600,43,"CO",2014,"White","Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.6,8365,15.78999996,423,76900,115,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.53,7589,45.45999908,133,72700,88,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.5,7068,16.62000084,221,52000,87,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.76,6917,16.88999939,314,54700,123,"CA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.59,3352,14.94999981,133,54700,40,"CA",2014,"Black or African American","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.75,5021,17.79000092,109,52000,32,"CA",2014,"White","Information not provided by applicant in mail, Internet, or telephone application","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.99,5610,23.63999939,113,67000,27,"WA",2014,"Information not provided by applicant in mail, Internet, or telephone application","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.78,6220,10.56000042,117,67000,41,"WA",2014,"White","Not Hispanic or Latino","W. J. BRADLEY MORTGAGE CAPITAL (CO)"
1.62,4432,12.94999981,183,68900,78,"NY",2014,"White","Not Hispanic or Latino","WALDEN SAVINGS BANK (NY)"
2.21,6650,43.25,172,57900,47,"AZ",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","WALLICK AND VOLK"
1.82,6650,43.25,162,57900,175,"AZ",2014,"White","Hispanic or Latino","WALLICK AND VOLK"
1.62,5108,27.05999947,147,74500,46,"WY",2014,"White","Not Hispanic or Latino","WALLICK AND VOLK"
1.75,7130,10.77000046,172,74500,72,"WY",2014,"White","Hispanic or Latino","WALLICK AND VOLK"
2.27,5536,26.86000061,241,57900,78,"AZ",2014,"White","Not Hispanic or Latino","WALLICK AND VOLK"
1.71,5536,26.86000061,150,57900,44,"AZ",2014,"White","Not Hispanic or Latino","WALLICK AND VOLK"
1.89,11032,33.70000076,128,61900,27,"AZ",2014,"White","Not Hispanic or Latino","WALLICK AND VOLK"
2.01,4396,50.5,122,57900,53,"AZ",2014,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","WALLICK AND VOLK"
2.19,5536,26.86000061,171,57900,102,"AZ",2014,"White","Not Hispanic or Latino","WALLICK AND VOLK"
